property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 104,2.0,3,3,3,new,1364.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 70,1.9,3,3,3,new,1773.0,1,1,unfurnished,budget,medium-rise
flat,sector 47,0.4,2,2,1,new,669.0,0,0,semifurnished,semi-luxury,low-rise
flat,sector 36,0.75,2,2,2,relatively new,853.0,0,0,unfurnished,budget,medium-rise
flat,sector 102,1.6,3,3,3,relatively new,1310.0,0,0,unfurnished,budget,medium-rise
flat,sector 28,7.0,4,3,2,relatively old,2479.0,1,0,unfurnished,budget,medium-rise
flat,sector 2,0.75,2,2,2,old,1100.0,0,0,semifurnished,budget,high-rise
flat,sector 90,1.25,3,3,3,relatively new,1564.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 28,11.75,4,5,3+,relatively new,2844.0,1,1,semifurnished,semi-luxury,medium-rise
flat,sector 2,1.38,2,2,2,under construction,1130.0,0,0,semifurnished,luxury,medium-rise
house,sector 66,8.8,4,4,3+,relatively new,2114.62,1,1,unfurnished,semi-luxury,low-rise
house,sector 57,3.65,6,6,2,relatively old,3450.0,1,1,furnished,luxury,low-rise
flat,sector 47,0.24,1,1,1,relatively new,378.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 47,1.4,3,2,3+,new,113.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 24,1.45,3,3,1,old,540.0,0,0,unfurnished,budget,low-rise
flat,sector 37,1.4,4,5,3,relatively new,2334.0,1,0,unfurnished,budget,medium-rise
flat,sector 36,1.0,3,2,3,new,1122.0,0,0,unfurnished,luxury,low-rise
flat,sector 23,0.16,2,2,2,relatively old,709.0,0,0,unfurnished,budget,low-rise
flat,sector 82,1.8,3,3,3+,relatively new,1539.0,1,0,furnished,luxury,medium-rise
flat,sector 56,1.39,3,3,3,relatively old,1745.0,0,0,semifurnished,luxury,medium-rise
house,sector 43,27.5,6,7,3+,relatively new,11286.0,1,0,semifurnished,budget,low-rise
flat,sector 106,2.1,4,6,3+,relatively new,2141.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 99,1.6,3,3,3,under construction,1818.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 82,2.25,3,3,3+,relatively new,2333.0,1,0,furnished,semi-luxury,high-rise
flat,sector 88,1.5,3,3,3+,new,1682.0,0,0,unfurnished,budget,high-rise
flat,sector 95,0.55,2,2,2,new,1256.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 86,1.54,3,3,3+,relatively new,1780.0,1,0,unfurnished,luxury,high-rise
flat,sector 102,2.5,4,5,3+,relatively new,2907.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 65,1.8,2,2,3,new,1456.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 84,0.85,2,2,3,relatively new,1153.0,0,0,semifurnished,budget,medium-rise
flat,sector 70,1.25,2,2,3,relatively new,1227.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 89,1.5,3,3,3,new,1944.0,0,0,unfurnished,budget,low-rise
