property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
flat,paras dews,sector 106,1.25,10655.98,1173.05,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,14.0,east,relatively new,1900.0,1305.0,1173.0,1,1,0,0,0,1,139.0,391.01666666666665
flat,trisara our homes 3,sector 47,0.21,4339.02,483.98,Built Up area: 484 (44.97 sq.m.),1,1,0,2.0,,undefined,,484.0,,0,0,0,0,0,1,,483.98
house,international city by sobha phase 1,sector 109,5.9,24280.04,2429.98,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,relatively new,,2430.0,,1,0,0,0,0,0,86.0,607.495
flat,hcbs sports ville,sector 2,0.35,4375.0,800.0,Built Up area: 800 (74.32 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,8.0,east,relatively new,,800.0,600.0,0,0,0,0,0,1,18.0,400.0
flat,orchid petals,sector 49,4.16,11699.99,3555.56,Super Built up area 3557(330.46 sq.m.),5,4,3+,14.0,east,relatively new,3557.0,,,1,1,0,0,0,1,21.0,711.112
flat,bhagwati sadan,sector 12,1.15,5750.0,2000.0,Super Built up area 2500(232.26 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,2,2.0,,old,2500.0,2000.0,1750.0,1,1,0,0,1,0,12.0,666.6666666666666
flat,dlf the crest,sector 54,11.0,35482.96,3100.08,Carpet area: 3100 (288 sq.m.),4,5,3+,7.0,north-east,relatively new,,,3100.0,1,1,1,0,0,1,24.0,775.02
flat,professional society,sector 1,0.75,3067.0,2445.39,Carpet area: 2445 (227.15 sq.m.),3,4,3,3.0,east,relatively new,,,2445.0,1,0,0,0,0,1,20.0,815.13
flat,godrej oasis,sector 88,1.5,8108.02,1850.02,Carpet area: 1850 (171.87 sq.m.),3,3,2,3.0,,relatively new,,,1850.0,0,0,0,0,0,1,39.0,616.6733333333333
flat,sidhartha ncr one phase,sector 95,0.43,3152.01,1364.21,Super Built up area 1364(126.72 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),2,2,2,6.0,north,relatively new,1364.0,1300.0,1020.0,0,0,0,0,0,1,90.0,682.105
house,dlf city plots phase 2,sector 25,10.75,29861.03,3600.01,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,old,,3600.0,,1,0,1,1,0,1,56.0,400.00111111111113
flat,dlf garden city floors,sector 92,1.7,8587.98,1979.51,Super Built up area 1630(151.43 sq.m.),3,4,2,1.0,,under construction,1630.0,,,0,0,0,0,0,1,55.0,659.8366666666667
flat,signature the roselia,sector 95,0.42,6193.96,678.08,Built Up area: 670 (62.25 sq.m.)Carpet area: 569.25 sq.ft. (52.89 sq.m.),2,2,2,12.0,north,new,,670.0,569.3,0,1,0,0,0,0,63.0,339.04
flat,antriksh heights,sector 84,0.94,6999.99,1342.86,Super Built up area 1350(125.42 sq.m.),3,2,3+,10.0,,new,1350.0,,,0,1,0,0,0,0,70.0,447.61999999999995
flat,smart world gems,sector 89,0.95,8600.01,1104.65,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,new,,,1103.0,1,1,0,0,0,1,40.0,552.325
flat,raisina residency,sector 59,5.0,13058.0,3829.07,Carpet area: 3829 (355.73 sq.m.),4,4,3+,13.0,north-west,relatively new,,,3829.0,1,1,1,1,0,0,149.0,957.2675
